"inst_name","grad_rate_6yr","pct_pell","pct_loan","cost_attendance","tuition_in_state","tuition_out_state","pct_admitted","enrollment","stud_fac_ratio","retention_rate","avg_fac_salary","instr_exp_per_stud","pct_full_time_fac","pct_first_gen","avg_age_entry","pct_female","pct_hispanic"
"Milwaukee School of Engineering",0.6711,24.17,56.23,62648,50480,50480,58.93,2654,12,0.8378,10194,13879,60.06,23.59882006,"21.184284378",29.27970065,11.23
"Northland College",0.4966,31.88,60.46,56889,44403,44403,74.97,269,5,0.3107,6903,11164,70.27,20.14134276,"21.408026756",52.84280936,9.67
"Ripon College",0.633,33.79,70.3,63540,51900,51900,79.84,688,12,0.7231,8249,13869,100,28.08022923,"19.535620053",49.60422164,10.76
"Saint Norbert College",0.7129,14.7,43.51,59422,45580,45580,85.74,1662,14,0.8367,9440,12300,82.17,20.54176072,"19.572668113",57.04989154,5.42
"Viterbo University",0.6838,26.26,58.14,45558,34250,34250,72.43,1249,10,0.7619,7309,8971,43.61,28.16229117,"23.662528217",75.28216704,6.89
"University of Wisconsin-Whitewater",0.589,25.17,46.25,18719,8616,18716,85.72,9405,21,0.7804,9017,8065,94.61,29.96237065,"21.069948764",51.43684562,9.89
"University of Wisconsin-Eau Claire",0.6381,19.64,42.09,21705,9642,19228,82.34,8895,19,0.8175,9157,9211,77.99,21.98406156,"20.367547952",64.4375324,4.34
"University of Wisconsin-Green Bay",0.4822,21.83,27.39,19366,8700,17288,88.59,6341,25,0.6591,8077,6613,71.69,36.31100083,"24.113653699",68.03966438,10.6
"University of Wisconsin-La Crosse",0.7096,14.41,42.29,19593,10070,19517,75.5,9277,20,0.8651,8349,8467,81.12,21.38098122,"20.227668213",57.74361949,3.92
"Wisconsin Lutheran College",0.6357,28.6,67.68,48785,36110,36110,78.16,943,11,0.7251,7508,10769,96.1,29.36802974,"22.521891419",54.99124343,9.97
"University of Wisconsin-Oshkosh",0.4614,16.07,24.23,19652,8532,16446,86.5,6877,22,0.693,8888,10569,75.3,31.02329696,"21.692412664",60.97161572,6.72
"University of Wisconsin-Parkside",0.404,35.03,35.7,18199,8270,17429,75.39,2844,20,0.6872,8388,8443,72.43,40.94707521,"22.520970187",56.64477009,21.34
"Herzing University-Madison",0.284,69.37,68.64,27939,13450,13450,94.3,2494,19,0.3971,6724,4765,11.24,52.09032652,"31.289940828",81.35465189,11.11
"University of Wisconsin-Stout",0.5486,23.86,48.04,22797,10701,19265,87.67,5842,18,0.789,8344,9240,72.06,27.83985102,"21.885772123",47.5708502,4.16
"University of Wisconsin-Superior",0.4188,30.82,43.43,19860,8812,16726,93.01,1807,18,0.7183,7266,10961,84.56,29.59285005,"24.372177055",64.22764228,3.71
"University of Wisconsin-Madison",0.8955,15.94,20.38,28679,11603,42103,45.2,36902,18,0.9616,15643,21417,85.84,16.80527224,"20.109977494",53.11327832,8.52
"University of Wisconsin-Milwaukee",0.4932,32.75,41.5,22756,10398,22398,90.68,16758,17,0.7295,9960,11310,63.81,33.04775104,"22.251829826",56.415828,16.64
"University of Wisconsin-Platteville",0.5576,21.1,42.3,21266,8644,17603,89.38,5837,20,0.7903,7885,7324,80.76,28.73563218,"20.79348199",37.66723842,4.88
"University of Wisconsin-River Falls",0.57,20.83,42.97,19781,9008,17470,81.72,4205,19,0.7645,8788,9465,59.23,26.45299145,"21.150219736",63.88333999,4.95
"University of Wisconsin-Stevens Point",0.5078,28.7,48.77,20079,9488,18508,91.8,7306,21,0.7383,7919,8261,75.97,30.57193396,"20.990082645",54.32506887,5.24
"University of Wyoming",0.5884,22.75,28.1,24818,7768,24178,96.88,7944,13,0.7968,10759,17639,99.28,27.7271069,"22.668979875",54.37196391,10.35
"Universidad Adventista de las Antillas",0.3636,79.13,25.61,16834,8350,8350,100,830,18,0.7952,3531,4469,27.78,38.29431438,"21.517611026",64.01225115,93.49
"Universidad Central de Bayamon",0.3438,78.44,16.37,12976,5986,5986,65.94,539,13,0.8,2861,4459,100,30.75862069,"22.357561547",61.89917937,99.07
"Albizu University-San Juan",0.6703,68.85,24.87,18382,8505,8505,100,728,20,0.8243,4085,1880,22.87,25.05800464,"26.48",80.42105263,98.76
"Pontifical Catholic University of Puerto Rico-Arecibo",0.5395,68.85,28.35,18678,6550,6550,93.78,273,10,0.8696,4327,15299,50,30.84022915,"21.188372093",58.43023256,100
"Pontifical Catholic University of Puerto Rico-Ponce",0.4859,80.65,30.23,20508,6650,6650,98.08,3874,16,0.8312,4545,4692,69.14,30.84022915,"21.188372093",58.43023256,99.56
"Colegio Universitario de San Juan",0.3226,76.94,0,6024,2580,2580,75.38,491,10,0.5556,3129,2531,100,45.22502744,"23.995503597",56.11510791,100
"Puerto Rico Conservatory of Music",0.6667,61.69,10.71,12920,3370,3850,78.35,307,4,0.875,5014,21478,50,9.52380952,"20.388489209",31.65467626,99.02
"EDP University of Puerto Rico Inc-San Sebastian",0.287,62.89,47.84,15680,7050,14125,95.74,1032,15,0.6667,2810,3117,100,44.092827,"28.823505155",66.4742268,100
"Escuela de Artes Plasticas y Diseno de Puerto Rico",0.4478,78.07,0,9057,4902,8502,100,466,10,0.7229,3063,3754,100,17.34104046,"20.441489362",65.95744681,98.71
"Inter American University of Puerto Rico-San German",0.4316,83.04,11.61,16380,5780,5780,42.48,2569,25,0.7955,5766,3859,100,35.79571363,"21.450378469",52.14465938,99.73
"Inter American University of Puerto Rico-Aguadilla",0.4288,82.85,12.27,16057,5742,5742,41.76,2906,26,0.8056,5059,3235,100,42.88086343,"22.174746336",54.00225479,99.76
"Inter American University of Puerto Rico-Arecibo",0.3892,77.1,15.35,16625,5780,5780,38.2,2220,26,0.713,5468,3469,100,35.28673085,"22.646230008",59.63442498,99.77
"Inter American University of Puerto Rico-Barranquitas",0.3802,88.38,10.66,16051,5742,5742,85.95,937,21,0.7323,5051,4976,100,50.58139535,"21.374806801",56.18238022,100
"Inter American University of Puerto Rico-Metro",0.3881,66.49,17.41,16837,5780,5780,69.72,2607,18,0.7643,5927,4898,100,25.53742038,"24.593727469",57.4260995,98.2
"Inter American University of Puerto Rico-Ponce",0.4144,80.36,17.37,16065,5780,5780,33.73,2404,22,0.6865,5587,3759,100,33.79380054,"23.137027108",58.2067322,99.58
