Source,Date,Mean
GISTEMP,2/6/1948,-0.13
GCAG,1/6/1948,0.0535
GISTEMP,1/6/1948,0.05
GCAG,12/6/1947,-0.1463
GISTEMP,12/6/1947,-0.18
GCAG,11/6/1947,-0.0238
GISTEMP,11/6/1947,-0.01
GCAG,10/6/1947,0.0549
GISTEMP,10/6/1947,0.06
GCAG,9/6/1947,-0.1306
GISTEMP,9/6/1947,-0.14
GCAG,8/6/1947,-0.0623
GISTEMP,8/6/1947,-0.08
GCAG,7/6/1947,-0.0138
GISTEMP,7/6/1947,-0.06
GCAG,6/6/1947,0.0208
GISTEMP,6/6/1947,0
GCAG,5/6/1947,-0.019
GISTEMP,5/6/1947,-0.06
GCAG,4/6/1947,0.0143
GISTEMP,4/6/1947,0.04
GCAG,3/6/1947,-0.0079
GISTEMP,3/6/1947,0.05
GCAG,2/6/1947,-0.0774
GISTEMP,2/6/1947,-0.08
GCAG,1/6/1947,-0.1816
GISTEMP,1/6/1947,-0.13
GCAG,12/6/1946,-0.2636
GISTEMP,12/6/1946,-0.29
GCAG,11/6/1946,-0.0119
GISTEMP,11/6/1946,-0.02
GCAG,10/6/1946,-0.0057
GISTEMP,10/6/1946,-0.06
GCAG,9/6/1946,-0.0164
GISTEMP,9/6/1946,-0.02
GCAG,8/6/1946,-0.0697
GISTEMP,8/6/1946,-0.08
GCAG,7/6/1946,-0.0367
GISTEMP,7/6/1946,-0.09
GCAG,6/6/1946,-0.1016
GISTEMP,6/6/1946,-0.17
GCAG,5/6/1946,-0.0298
GISTEMP,5/6/1946,-0.04
GCAG,4/6/1946,0.1768
GISTEMP,4/6/1946,0.11
GCAG,3/6/1946,0.0005
GISTEMP,3/6/1946,0
GCAG,2/6/1946,0.0888
GISTEMP,2/6/1946,0.06
GCAG,1/6/1946,0.2209
GISTEMP,1/6/1946,0.15
GCAG,12/6/1945,-0.0475
GISTEMP,12/6/1945,-0.1
GCAG,11/6/1945,0.1955
GISTEMP,11/6/1945,0.1
GCAG,10/6/1945,0.2569
GISTEMP,10/6/1945,0.22
GCAG,9/6/1945,0.2578
GISTEMP,9/6/1945,0.22
GCAG,8/6/1945,0.3546
GISTEMP,8/6/1945,0.25
GCAG,7/6/1945,0.1652
GISTEMP,7/6/1945,0.07
GCAG,6/6/1945,0.1413
GISTEMP,6/6/1945,0.02
GCAG,5/6/1945,0.1761
GISTEMP,5/6/1945,0.1
GCAG,4/6/1945,0.2764
GISTEMP,4/6/1945,0.24
GCAG,3/6/1945,0.1072
GISTEMP,3/6/1945,0.11
GCAG,2/6/1945,0.0149
GISTEMP,2/6/1945,0.02
GCAG,1/6/1945,0.1535
GISTEMP,1/6/1945,0.13
GCAG,12/6/1944,0.0951
GISTEMP,12/6/1944,0.05
GCAG,11/6/1944,0.1518
GISTEMP,11/6/1944,0.12
GCAG,10/6/1944,0.323
GISTEMP,10/6/1944,0.27
GCAG,9/6/1944,0.3855
GISTEMP,9/6/1944,0.31
GCAG,8/6/1944,0.2804
GISTEMP,8/6/1944,0.23
GCAG,7/6/1944,0.3145
GISTEMP,7/6/1944,0.23
GCAG,6/6/1944,0.3348
GISTEMP,6/6/1944,0.22
GCAG,5/6/1944,0.2618
GISTEMP,5/6/1944,0.26
GCAG,4/6/1944,0.2718
GISTEMP,4/6/1944,0.27
GCAG,3/6/1944,0.3676
GISTEMP,3/6/1944,0.34
GCAG,2/6/1944,0.3032
GISTEMP,2/6/1944,0.31
GCAG,1/6/1944,0.4241
GISTEMP,1/6/1944,0.41
GCAG,12/6/1943,0.3539
GISTEMP,12/6/1943,0.28
GCAG,11/6/1943,0.2459
GISTEMP,11/6/1943,0.25
GCAG,10/6/1943,0.3095
GISTEMP,10/6/1943,0.3
GCAG,9/6/1943,0.1425
GISTEMP,9/6/1943,0.11
GCAG,8/6/1943,0.0992
GISTEMP,8/6/1943,0.03
GCAG,7/6/1943,0.183
GISTEMP,7/6/1943,0.14
GCAG,6/6/1943,0.0245
GISTEMP,6/6/1943,-0.01
GCAG,5/6/1943,0.1326
GISTEMP,5/6/1943,0.1
GCAG,4/6/1943,0.1726
GISTEMP,4/6/1943,0.13
GCAG,3/6/1943,0.0762
GISTEMP,3/6/1943,0.01
GCAG,2/6/1943,0.1683
GISTEMP,2/6/1943,0.22
GCAG,1/6/1943,-0.0241
GISTEMP,1/6/1943,-0.01
GCAG,12/6/1942,0.1515
GISTEMP,12/6/1942,0.12
GCAG,11/6/1942,0.167
GISTEMP,11/6/1942,0.13
GCAG,10/6/1942,0.1495
GISTEMP,10/6/1942,0.06
GCAG,9/6/1942,0.1179
GISTEMP,9/6/1942,0
GCAG,8/6/1942,0.044
GISTEMP,8/6/1942,-0.03
GCAG,7/6/1942,0.0768
GISTEMP,7/6/1942,0.02
GCAG,6/6/1942,0.2098
GISTEMP,6/6/1942,0.11
GCAG,5/6/1942,0.1665
GISTEMP,5/6/1942,0.14
GCAG,4/6/1942,0.19
GISTEMP,4/6/1942,0.14
GCAG,3/6/1942,0.1771
GISTEMP,3/6/1942,0.13
GCAG,2/6/1942,0.0971
GISTEMP,2/6/1942,0.05
GCAG,1/6/1942,0.2983
GISTEMP,1/6/1942,0.26
GCAG,12/6/1941,0.2108
GISTEMP,12/6/1941,0.14
GCAG,11/6/1941,0.2212
GISTEMP,11/6/1941,0.12
GCAG,10/6/1941,0.313
GISTEMP,10/6/1941,0.24
GCAG,9/6/1941,0.0881
GISTEMP,9/6/1941,0.02
GCAG,8/6/1941,0.1736
GISTEMP,8/6/1941,0.14
GCAG,7/6/1941,0.2069
GISTEMP,7/6/1941,0.15
GCAG,6/6/1941,0.1614
GISTEMP,6/6/1941,0.04
GCAG,5/6/1941,0.2446
GISTEMP,5/6/1941,0.1
GCAG,4/6/1941,0.2229
GISTEMP,4/6/1941,0.11
GCAG,3/6/1941,0.1023
GISTEMP,3/6/1941,0.06
GCAG,2/6/1941,0.227
GISTEMP,2/6/1941,0.23
GCAG,1/6/1941,0.1802
GISTEMP,1/6/1941,0.13
GCAG,12/6/1940,0.2683
GISTEMP,12/6/1940,0.19
GCAG,11/6/1940,0.1004
GISTEMP,11/6/1940,0.13
GCAG,10/6/1940,0.0993
GISTEMP,10/6/1940,0.07
GCAG,9/6/1940,0.1483
GISTEMP,9/6/1940,0.12
GCAG,8/6/1940,0.0902
GISTEMP,8/6/1940,0.01
GCAG,7/6/1940,0.1459
GISTEMP,7/6/1940,0.1
GCAG,6/6/1940,0.1039
GISTEMP,6/6/1940,0.05
GCAG,5/6/1940,0.0556
GISTEMP,5/6/1940,0.05
GCAG,4/6/1940,0.1286
GISTEMP,4/6/1940,0.16
GCAG,3/6/1940,0.0671
GISTEMP,3/6/1940,0.12
GCAG,2/6/1940,0.0514
GISTEMP,2/6/1940,0.06
GCAG,1/6/1940,-0.1226
GISTEMP,1/6/1940,-0.15
GCAG,12/6/1939,0.4057
GISTEMP,12/6/1939,0.4
GCAG,11/6/1939,0.044
GISTEMP,11/6/1939,0.06
GCAG,10/6/1939,-0.0427
GISTEMP,10/6/1939,-0.03
GCAG,9/6/1939,0.0111
GISTEMP,9/6/1939,0
GCAG,8/6/1939,0.0555
GISTEMP,8/6/1939,-0.05
GCAG,7/6/1939,0.0061
GISTEMP,7/6/1939,-0.06
GCAG,6/6/1939,-0.0077
GISTEMP,6/6/1939,-0.08
GCAG,5/6/1939,-0.0366
GISTEMP,5/6/1939,-0.07
GCAG,4/6/1939,-0.1319
GISTEMP,4/6/1939,-0.12
GCAG,3/6/1939,-0.1897
GISTEMP,3/6/1939,-0.2
GCAG,2/6/1939,-0.1137
GISTEMP,2/6/1939,-0.12
GCAG,1/6/1939,-0.1665
GISTEMP,1/6/1939,-0.13
GCAG,12/6/1938,-0.2541
GISTEMP,12/6/1938,-0.26
GCAG,11/6/1938,0.0039
GISTEMP,11/6/1938,0.01
GCAG,10/6/1938,0.0724
GISTEMP,10/6/1938,0.11
GCAG,9/6/1938,0.0293
GISTEMP,9/6/1938,0.03
GCAG,8/6/1938,-0.0149
GISTEMP,8/6/1938,-0.04
GCAG,7/6/1938,-0.0505
GISTEMP,7/6/1938,-0.09
GCAG,6/6/1938,-0.0939
GISTEMP,6/6/1938,-0.17
GCAG,5/6/1938,-0.019
GISTEMP,5/6/1938,-0.07
GCAG,4/6/1938,0.0428
GISTEMP,4/6/1938,0.05
GCAG,3/6/1938,0.0308
GISTEMP,3/6/1938,0.05
GCAG,2/6/1938,-0.054
GISTEMP,2/6/1938,-0.04
