StartDate,EndDate,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11WOC,F12,F13,F14WOC,F15WOC,F16WOC,F17,F18,F19,F20WOC,F21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33MOC,M34MOC,M35MOC,M36MOC,M37,M38,M39,M40,M41,M42,Age,Gender,Ethnicity,Specify_ethnicity,University,Class_standing,Class_specify,Major,GPA,History_offering,Taken_history,Grade_history,Womenclass_offer,Taken_womenclass,Grade_womenclass,Nameofwomenclass,Male_score,Female_score,POC_score,White_score,WhiteWomen_score,WhiteMen_score,POCWomen_score,POCMen_score,Overall_Reconition_Mean,random_white,Male_Score_Median,Female_Score_Median,POC_Score_Median,White_Score_Median,White_Women_Median,White_Men_Median,POC_Women_Median,POC_Men_Median,Full_Scale_Median,Random_White_Median
2/7/2018 8:57:08,2/7/2018 9:01:21,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,2,3,2,3,3,1,0,2,0,0,2,0,0,1,0,20,2,5, , ,3, ,Sports Psychology,3.5,1,1,2,1,3, , ,1.61904761904762,.238095238095238,.333333333333333,1.09090909090909,.3125,1.82352941176471,0,.75,.928571428571429,.444444444444444,2,0,0,0,0,2,0,.5,0,0
2/8/2018 15:10:23,2/8/2018 15:14:42,0,3,2,1,3,0,1,2,2,0,1,1,0,1,1,1,0,1,1,1,1,3,3,3,3,3,0,3,0,3,2,0,1,2,2,1,1,0,3,1,3,0,56,1,2, , ,4, , Psychology,3,1,3, ,1,3, , ,1.76190476190476,1.0952380952381,1.22222222222222,1.48484848484848,1.125,1.82352941176471,1,1.5,1.42857142857143,1.33333333333333,2,1,1,1,1,3,1,1.5,1,1
2/12/2018 11:16:01,2/12/2018 11:19:14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,1,1,1,2,2,1,0,0,0,0,0,1,1,0,1,0,23,2,2, , ,4, ,Behavior Analysis Psychology,3.34,1,3, , , , , ,1.14285714285714,.0952380952380952,0,.787878787878788,.125,1.41176470588235,0,0,.619047619047619,.444444444444444,1,0,0,0,0,1,0,0,0,0
1/31/2018 13:30:22,1/31/2018 13:35:06,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,2,2,2,1,2,0,2,2,2,0,0,0,0,0,1,0,0,0,0,21,2,5, , ,4, ,Counseling Psychology,3.71,1,2, ,1,1,1,Psychology of Women,1.04761904761905,.142857142857143,0,.757575757575758,.1875,1.29411764705882,0,0,.595238095238095,.333333333333333,1,0,0,0,0,2,0,0,0,0
1/31/2018 16:25:41,1/31/2018 16:28:46,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,3,3,3,2,2,3,0,0,1,0,3,2,2,3,2,2,34,1,5, , ,4, ,Counseling Psychology,3.2,1,3, ,2, , , ,2.0952380952381,.0952380952380952,.111111111111111,1.36363636363636,.125,2.52941176470588,0,.25,1.0952380952381,1.11111111111111,2,0,0,2,0,3,0,0,0,0
2/2/2018 13:00:41,2/2/2018 13:04:58,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,1,2,0,2,2,1,0,0,0,0,1,2,0,0,0,0,20,2,5, , ,4, ,Counseling Psychology,3.21,1,2, ,1,3, , ,.952380952380952,.19047619047619,0,.727272727272727,.25,1.17647058823529,0,0,.571428571428571,.333333333333333,1,0,0,0,0,1,0,0,0,0
2/7/2018 18:18:56,2/7/2018 18:22:10,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,2,3,3,3,3,2,3,3,1,0,0,1,2,1,2,2,1,2,21,2,3, , ,4, ,Counseling Psychology,2.8,1,1,2,1,3, , ,2.04761904761905,.285714285714286,.222222222222222,1.42424242424242,.375,2.41176470588235,0,.5,1.16666666666667,1,2,0,0,1,0,3,0,.5,1,1
1/31/2018 13:03:43,1/31/2018 13:57:16,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,1,3,3,2,21,2,3, , ,4, ,Counseling Psychology,3.93,1,1,1,1,3, , ,2.14285714285714,.380952380952381,0,1.60606060606061,.5,2.64705882352941,0,0,1.26190476190476,1.55555555555556,3,0,0,1,0,3,0,0,1,1
2/2/2018 12:56:00,2/2/2018 12:59:43,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,3,3,2,3,3,3,3,1,3,3,0,0,1,0,2,2,1,0,3,2,22,2,5, , ,4, ,Counseling Psychology,3.8,1,1,1,2, , , ,1.95238095238095,.333333333333333,.222222222222222,1.39393939393939,.375,2.35294117647059,.2,.25,1.14285714285714,.777777777777778,2,0,0,1,0,3,0,0,1,0
2/21/2018 16:13:03,2/21/2018 16:18:43,1,0,1,1,2,0,0,1,1,0,1,0,1,0,0,0,1,1,0,2,0,3,3,3,3,2,3,2,3,3,3,2,0,1,1,1,1,2,3,0,2,3,21,2,5, , ,4, ,Counseling Psychology,3.09,1,1,3,1,1,1,LGBTQ Studies,2.0952380952381,.619047619047619,.666666666666667,1.54545454545455,.625,2.41176470588235,.6,.75,1.35714285714286,.777777777777778,2,1,1,1,1,3,0,1,1,1
2/20/2018 10:44:10,2/20/2018 10:49:55,3,1,2,3,3,1,2,3,3,2,1,2,2,1,0,0,0,0,1,1,1,3,3,3,3,1,3,3,3,3,3,3,1,0,1,1,3,2,3,1,1,3,21,2,2, , ,4, ,Counseling Psychology,3.3,1,3, ,1,1,1,Didn't need to take the course,2.23809523809524,1.52380952380952,.666666666666667,2.21212121212121,1.8125,2.58823529411765,.6,.75,1.88095238095238,1.44444444444444,3,1,1,3,2,3,1,1,2,1
2/20/2018 16:51:46,2/20/2018 16:59:46,3,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,3,1,3,3,3,3,3,3,3,0,0,0,0,3,3,2,1,3,2,22,2,3, , ,4, ,Counseling Psychology,3.82,1,1,1,1,3, , ,2.14285714285714,.666666666666667,0,1.78787878787879,.875,2.64705882352941,0,0,1.4047619047619,1.44444444444444,3,0,0,2,1,3,0,0,1,2
