instnm,GraduationRate6Yr,GraduationRate4Yr,PercentFinancialAid,PercentStudentLoans,TotalPriceInStateOnCampus,TotalPriceOutStateOnCampus,TotalPriceInStateWithFamily,PercentAdmitted,TotalEnrollment,Applicants,Enrolled,Admitted,SatMath75th,SatReading75th,SatWriting75th,StudToFacRatio
Central Penn College,38,34,94,90,26649,26649,19851,97,1385,582,240,565,435,430,410,11
Central Washington University,52,27,89,61,22482,35295,12702,82,11993,4934,1661,4027,550,550,500,20
Champlain College,62,54,96,69,53586,53586,42036,66,4006,5587,554,3697,630,630,600,14
Chapman University,79,65,87,60,64650,64650,52920,48,8305,13670,1426,6504,650,640,660,14
Chestnut Hill College,48,37,100,83,47955,47955,37518,93,1951,1215,205,1125,530,550,530,9
Chowan University,23,12,100,92,34720,34720,26040,62,1532,4829,552,2982,430,430,410,16
Christopher Newport University,75,63,79,53,27702,39000,17748,60,5172,7366,1224,4427,620,630,600,15
Cincinnati Christian University,37,17,100,70,30086,30086,22226,95,883,227,105,216,570,620,540,13
Claremont McKenna College,93,86,50,32,66325,66325,56614,11,1349,7156,343,784,780,750,760,8
Clarion University of Pennsylvania,50,36,95,78,24502,28972,14934,96,5368,2215,953,2128,510,520,490,18
Clarkson University,71,56,100,75,62332,62332,49546,68,3910,6906,792,4700,660,630,600,14
Cleveland Institute of Art,63,58,95,73,55787,55787,49032,65,606,738,168,479,580,620,600,9
Cleveland State University,41,21,90,62,26436,29678,13936,88,16915,7650,1847,6735,580,570,540,18
Coe College,67,62,99,78,51260,51260,42750,63,1411,3457,368,2190,640,625,608,11
Colby College,89,84,48,20,63330,63330,50720,23,1857,7593,508,1710,740,720,730,10
College of Mount Saint Vincent,55,39,98,83,33995,33995,25875,86,1807,2734,321,2353,490,500,490,14
College of Our Lady of the Elms,64,59,99,86,47538,47538,36330,75,1712,832,186,623,540,530,530,13
College of Saint Benedict,84,79,100,75,53475,53475,43246,74,1943,1860,476,1379,570,590,560,12
College of Saint Elizabeth,50,40,99,91,50631,50631,37887,63,1247,804,101,508,460,443,450,10
College of the Ozarks,69,54,100,0,28476,28476,23138,12,1441,3122,345,386,561,498,534,14
College of William and Mary,91,85,55,25,33630,55330,23152,34,8484,14952,1518,5153,730,730,720,12
Colorado School of Mines,77,52,90,46,31726,49201,21353,38,6054,11752,1003,4427,730,690,650,16
Columbia International University,74,62,100,60,34060,34060,27530,34,1001,553,95,188,550,580,570,14
Columbia University in the City of New York,94,85,57,13,69084,69084,57080,7,28086,36911,1527,2438,790,780,790,6
Columbus State University,30,11,92,60,20871,31445,11801,56,8440,3157,1021,1758,540,550,530,17
Concord University,34,18,97,43,19156,27236,10946,85,2507,1451,445,1232,530,530,510,16
Concordia College-New York,54,45,90,69,43724,43724,32405,71,1156,1024,140,731,500,500,490,13
Concordia University-Irvine,54,49,98,66,46230,46230,37860,59,4505,3135,334,1855,570,560,545,15
Concordia University-Texas,35,23,99,66,41858,41858,32574,82,2559,1036,267,851,550,540,520,9
Concordia University-Wisconsin,56,38,98,72,41320,41320,35050,67,8268,2937,627,1959,588,568,540,12
Corban University,58,54,88,61,43120,43120,32540,31,1232,3108,275,949,560,600,590,15
Cornell College,68,65,100,69,52153,52153,43453,70,1037,1936,276,1364,640,660,630,11
Covenant College,67,59,100,51,43190,43190,33220,94,1102,615,258,578,630,650,650,13
Creighton University,73,67,99,54,50716,50716,40222,70,8435,9747,1068,6870,650,630,620,11
Cumberland University,55,34,100,45,35380,35380,33950,49,1550,695,200,341,600,480,430,16
D'Youville College,45,23,98,77,39750,39750,28570,73,2909,1220,240,886,560,550,530,9
Dakota Wesleyan University,47,31,100,92,36050,36050,29000,74,991,644,178,479,508,521,502,10
Dallas Christian College,34,23,98,76,28856,28856,20936,51,316,271,60,138,499,508,507,13
Davidson College,95,91,70,24,62894,62894,49466,22,1784,5382,510,1191,720,720,720,10
Delaware State University,43,25,98,80,22057,30664,14877,44,4288,8141,897,3617,490,480,460,15
Delaware Valley University,57,49,100,80,50946,50946,38556,69,2266,2594,471,1782,560,550,540,15
DePauw University,85,78,100,40,58478,58478,47678,65,2265,5182,596,3356,670,620,620,10
DeSales University,68,59,99,73,47978,47978,37888,78,3136,2706,429,2100,590,590,580,13
Dominican College of Blauvelt,43,30,100,84,42020,42020,30200,71,2061,1959,365,1400,490,480,480,16
Dominican University,62,50,100,81,42590,42590,35670,63,3696,4161,484,2612,550,580,480,11
Dominican University of California,72,57,99,65,60902,60902,48600,79,1863,2178,255,1717,580,560,550,9
Dordt College,69,63,100,70,41200,41200,33900,70,1458,1342,365,937,650,650,620,15
East Carolina University,61,34,75,61,20644,36218,17382,69,28289,16871,4302,11647,570,560,540,18
East Stroudsburg University of Pennsylvania,57,37,87,81,22128,32946,15906,84,6828,5982,1312,5027,520,510,500,22
Eastern Kentucky University,45,23,98,59,20172,29662,13750,71,16844,10215,2794,7215,550,550,545,16
Eastern Michigan University,41,13,97,62,22351,39646,14785,75,21824,14236,2872,10645,580,580,550,18
Eastern Nazarene College,45,36,100,65,42290,42290,33340,61,1005,1129,114,692,560,550,540,14
Eastern Oregon University,31,16,97,61,21906,32121,11730,97,3488,994,325,967,520,530,490,17
Eastern Washington University,47,21,93,58,22436,36842,12021,82,12361,5166,1724,4240,550,540,520,22
Ecclesia College,11,11,100,64,28430,28430,24010,60,283,213,74,127,510,480,530,11
Edinboro University of Pennsylvania,49,28,96,76,22852,23492,13036,96,6548,3509,1211,3358,520,530,500,19
Edward Waters College,26,8,98,74,24083,24083,16801,54,2254,3353,259,1801,455,430,420,15
Elizabeth City State University,37,16,97,73,13661,26014,6662,70,1585,1531,268,1071,460,460,440,15
Elmhurst College,69,56,99,93,47780,47780,40430,55,3298,3620,478,1983,605,600,590,14
Elon University,82,77,63,31,46670,46670,35322,57,6631,10256,1524,5866,650,640,650,12
Emerson College,80,77,73,58,59807,59807,45752,49,4479,8618,915,4225,640,670,660,13
Emory & Henry College,51,34,100,75,44620,44620,34450,76,1117,1456,304,1112,540,550,520,11
Emory University,91,85,55,33,63058,63058,49928,24,13788,20492,1357,4851,770,720,730,8
Erskine College,63,59,100,78,49765,49765,46865,64,761,991,219,637,560,550,530,12
Eureka College,52,40,100,82,31345,31345,25610,62,695,1225,165,764,640,630,610,13
Evangel University,54,44,100,93,33829,33829,26591,61,1958,1484,362,912,580,580,580,14
Faith Baptist Bible College and Theological Seminary,46,39,99,54,27778,27778,21046,64,269,137,69,88,690,650,610,11
Faulkner University,32,18,100,78,32410,32410,25280,57,3262,1712,297,981,510,520,510,15
Fayetteville State University,32,17,75,57,15531,27139,7711,60,6104,3943,631,2381,470,460,430,17
Ferris State University,44,20,95,71,22438,29030,13612,78,14715,10297,1967,8050,580,540,500,16
Ferrum College,30,19,100,93,43630,43630,33305,73,1334,3020,429,2203,500,500,470,14
Finlandia University,22,10,100,80,34288,34288,27210,46,536,1456,164,669,490,500,460,11
Fisk University,32,26,95,68,38831,38831,26871,81,855,3004,216,2431,560,480,560,13
Fitchburg State University,54,34,90,78,21938,28018,13335,75,6598,3998,789,2989,550,540,520,14
Flagler College-St Augustine,60,46,95,64,31060,31060,21430,50,2702,5260,620,2655,560,588,570,16
Florida Agricultural and Mechanical University,41,12,97,74,20389,32329,11163,51,9928,5832,1485,2998,530,540,510,16
Florida Atlantic University,50,19,77,45,22255,34700,11691,68,30380,15847,3474,10725,570,570,550,23
Florida College,25,16,95,63,28664,28664,19574,81,550,297,181,241,550,560,568,13
Florida Gulf Coast University,46,20,72,42,20142,39186,10718,61,14833,13608,2698,8244,570,570,560,22
Florida International University,56,25,82,34,23240,35638,15414,50,49782,21442,4202,10806,580,590,570,25
Florida Southern College,59,52,100,87,44572,44572,34362,45,2869,6190,698,2806,610,620,600,13
Florida State University,80,61,89,36,22071,37237,11807,56,40830,29828,6100,16674,640,640,640,25
Fordham University,80,74,91,56,67457,67457,51035,48,15286,42811,2211,20366,680,670,680,14
Framingham State University,55,34,87,78,23924,30004,17160,71,6398,4803,855,3401,540,540,530,15
Franklin College,66,60,100,80,41865,41865,34025,70,1087,2023,290,1412,540,540,520,12
Franklin Pierce University,43,36,99,80,49166,49166,37620,80,2273,3740,418,2981,520,520,510,13
Fresno Pacific University,62,49,99,68,39730,39730,34002,63,3342,518,170,327,547,530,525,13
Frostburg State University,47,22,89,69,20568,32668,13394,63,5756,3913,933,2483,530,530,510,16
Gardner-Webb University,44,34,100,66,41020,41020,34494,53,4329,3866,460,2037,550,530,530,13
Geneva College,65,51,99,75,37130,37130,27500,73,1714,1678,335,1230,590,590,560,15
George Fox University,64,56,99,74,46364,46364,36212,77,3925,2903,620,2224,600,600,590,14
George Washington University,84,76,82,43,65260,65260,53210,46,26212,19837,2589,9216,700,690,690,13
Georgia College and State University,59,42,97,43,26900,45248,15204,76,6889,3968,1475,3002,610,620,600,17
Georgia Institute of Technology-Main Campus,86,41,77,25,25780,45972,15124,32,25034,27277,3089,8775,770,730,730,19
Georgia Southern University,51,26,89,59,22927,33501,13127,60,20459,10098,3495,6082,590,590,570,21
Georgia State University,53,23,94,54,26214,40782,14584,57,32058,13970,3447,7914,590,580,570,21
Georgian Court University,42,26,99,81,45976,45976,35168,73,2122,1322,151,963,540,510,518,12
Glenville State College,44,22,98,73,21994,30850,12592,72,1732,1429,341,1036,480,470,480,16
Gordon College,70,61,100,82,47804,47804,38386,93,2045,1832,441,1708,610,620,620,13
Goshen College,68,56,100,61,43700,43700,33800,66,839,797,177,525,598,580,540,10
Grambling State University,34,26,99,98,25108,34267,15560,38,4541,3584,630,1370,490,465,460,20
Grand View University,48,31,100,79,36082,36082,29052,98,1988,784,267,770,540,580,570,13
Greensboro College,44,33,100,98,39600,39600,29500,75,978,1095,226,824,510,510,470,12
Greenville College,47,40,100,81,36200,36200,30518,56,1321,1901,260,1070,540,530,520,13
Gwynedd Mercy University,50,40,100,87,44600,44600,34560,68,2582,1146,241,785,510,500,500,10
Hamline University,59,51,100,75,49302,49302,39566,72,4258,3995,513,2892,650,660,620,13
Hampden-Sydney College,66,60,100,57,57790,57790,44730,55,1087,3683,305,2018,610,620,580,11
Hampton University,55,36,96,82,37190,37190,27112,69,4269,10258,934,7083,550,540,400,9
Hanover College,71,67,99,64,47666,47666,37214,61,1133,3355,304,2056,600,610,570,11
Hardin-Simmons University,52,37,100,62,36216,36216,26650,60,2112,1595,413,957,570,570,540,12
Haverford College,90,86,57,21,66648,66648,51760,25,1233,3467,346,852,770,760,770,8
Hebrew Theological College,5,4,66,0,37930,37930,26830,97,526,403,351,390,570,600,570,20
Heritage Christian University,50,0,100,33,17632,17632,14428,70,92,10,7,7,610,660,560,8
High Point University,64,60,82,44,48380,48380,35930,72,4573,10910,1362,7909,603,593,593,13
Hillsdale College,83,73,99,38,37552,37552,27792,50,1526,1859,370,930,660,750,730,10
Hiram College,61,54,100,83,44787,44787,37261,58,1122,1864,161,1074,578,590,575,10
Hollins University,53,50,100,73,50735,50735,39380,61,802,2233,196,1362,580,630,630,9
Holy Cross College,40,38,83,53,41333,41333,31358,91,578,638,139,578,540,540,510,13
Holy Family University,61,51,100,89,45392,45392,31552,74,2711,1328,342,982,500,510,500,12
Hope International University,43,30,99,72,42628,42628,34685,34,1302,1051,124,360,520,510,510,14
Huntington University,65,55,100,70,36578,36578,32372,84,1252,945,209,793,570,560,550,10
Husson University,54,29,86,76,28654,28654,20132,80,3416,2066,538,1663,540,530,520,15
Illinois Wesleyan University,81,74,100,64,54686,54686,44290,62,1842,3744,450,2318,730,640,670,11
Immaculata University,67,56,99,84,51878,51878,40882,79,2961,1599,190,1257,550,530,550,9
Indiana Institute of Technology,32,17,96,93,38020,38020,30803,70,7542,3016,406,2099,545,520,490,31
Indiana State University,38,19,92,66,21026,31154,12290,85,13584,11819,2784,10104,510,510,490,20
Indiana University of Pennsylvania-Main Campus,54,37,91,80,24916,36815,14081,88,13835,9566,2540,8451,530,530,520,19
Indiana University-Bloomington,76,60,76,38,24539,47892,15822,78,48514,34483,7875,26892,660,630,620,17
Indiana University-Purdue University-Fort Wayne,24,7,86,50,21750,33078,13980,92,12719,3506,1634,3231,550,540,520,17
Indiana University-Purdue University-Indianapolis,47,19,88,53,22296,43014,14434,70,30105,13529,3929,9425,560,560,540,19
Indiana University-South Bend,30,7,88,47,19292,30685,12430,76,7574,2299,906,1752,530,530,510,13
Indiana University-Southeast,32,12,86,45,19893,31323,12219,85,6173,1930,926,1632,520,530,510,14
Indiana Wesleyan University-Marion,64,51,89,56,36174,36174,32956,95,14730,3176,1425,3024,600,590,570,15
Jewish Theological Seminary of America,79,66,54,28,39560,39560,25340,52,359,106,39,55,710,745,720,5
John Brown University,65,56,99,53,36782,36782,28118,74,2781,1166,358,860,625,660,650,15
John Carroll University,76,65,99,63,52100,52100,41180,82,3673,4087,761,3352,600,590,590,13
John Paul the Great Catholic University,63,59,97,67,41897,41897,35804,95,317,122,63,116,595,640,625,21
John Wesley University,30,10,100,65,25550,25550,16270,77,158,104,27,80,470,470,420,15
Johns Hopkins University,92,87,66,36,65496,65496,50956,14,22686,25474,1368,3597,780,750,770,10
Johnson State College,35,19,98,83,23264,35960,15768,95,1514,850,204,809,540,560,530,12
Johnson University,56,54,94,60,23219,23219,18995,58,1171,417,175,241,590,610,600,14
Johnson University Florida,32,19,100,84,22319,22319,18035,39,205,273,69,107,550,520,470,13
Kansas City Art Institute,58,51,99,82,51760,51760,41520,58,645,698,146,405,570,610,570,9
Keene State College,63,54,93,78,25690,33870,15978,79,4383,5674,920,4469,550,550,540,15
Kennesaw State University,42,14,90,50,25773,36349,14306,59,33252,14215,5032,8323,590,590,570,21
Kent State University at Kent,55,32,95,66,25532,33732,16296,85,30067,15772,4334,13369,580,580,560,21
Kentucky Christian University,29,22,97,79,31654,31654,27530,36,606,1185,138,430,540,500,510,12
Kentucky State University,21,5,100,67,18626,28928,13434,38,1586,4768,210,1808,570,480,480,11
Keystone College,49,32,95,83,39200,39200,31980,98,1459,999,293,977,500,510,480,11
Kutztown University of Pennsylvania,55,34,92,81,24401,35219,14803,82,8995,8023,1856,6599,520,530,510,20
La Roche College,53,37,90,54,40510,40510,30680,95,1523,1167,291,1114,520,520,510,12
La Sierra University,47,23,99,69,43212,43212,38844,45,2476,4328,435,1931,520,510,510,14
LaGrange College,47,43,100,84,42780,42780,31540,57,1028,1530,269,876,550,545,520,12
Lake Erie College,45,30,100,77,42750,42750,33792,56,1243,1712,214,964,540,540,520,14
Lake Superior State University,42,21,96,59,22570,27778,13280,92,2249,1615,435,1484,560,530,520,15
Lander University,43,28,98,69,22752,32370,14452,62,2701,2614,558,1620,510,510,493,14
Lasell College,51,46,96,80,48750,48750,36500,78,2160,3171,490,2478,530,530,530,13
Lawrence Technological University,51,20,94,61,45370,45370,35900,55,3516,2147,350,1187,630,590,550,12
Lenoir-Rhyne University,48,35,100,72,46960,46960,35900,84,2221,3994,448,3369,550,550,550,12
Lesley University,55,43,96,69,43215,43215,30510,67,5067,3182,381,2135,570,600,590,10
LeTourneau University,53,38,98,55,41638,41638,32058,45,2795,2203,301,1002,650,630,600,12
Lewis University,61,41,100,76,42100,42100,32530,62,6679,5728,702,3542,600,560,530,13
Liberty University,54,32,96,57,35809,35809,27067,22,80494,48936,4793,10553,590,600,580,18
Life Pacific College,58,52,94,74,25607,25607,19468,64,612,224,90,143,490,540,520,16
LIM College,53,46,87,62,48070,48070,30925,91,1700,1070,269,969,530,540,530,17
Lincoln Christian University,62,49,97,72,25650,25650,18526,60,878,250,91,149,520,470,440,13
Lincoln College,6,3,99,83,30314,30314,23214,52,1194,1343,371,693,380,450,410,16
Lindenwood University,49,29,99,64,31956,31956,24822,55,11620,4156,1221,2302,560,540,500,13
Linfield College-McMinnville Campus,70,57,100,73,52814,52814,42654,84,1700,2330,475,1955,580,580,560,11
LIU Post,46,27,95,64,53184,53184,43046,81,8623,6371,530,5134,560,550,550,13
Lock Haven University,48,32,94,85,24030,32700,14980,92,4607,3415,858,3133,530,520,510,19
Louisiana College,35,22,100,70,24810,24810,20209,69,1092,756,212,525,470,490,470,11
Louisiana State University-Alexandria,23,12,93,41,18176,25168,10982,68,3104,2279,508,1545,560,500,490,20
Lourdes University,28,12,99,74,33840,33840,24740,69,1530,692,151,479,530,510,520,12
Loyola Marymount University,83,74,91,43,60648,60648,48843,51,9392,13288,1354,6748,660,640,650,11
Loyola University Chicago,75,65,96,61,56536,56536,43226,71,16437,21555,2194,15360,630,630,630,14
Lubbock Christian University,39,29,100,89,33030,33030,25760,96,1958,867,275,833,555,550,548,13
Luther College,79,72,100,66,51165,51165,43245,67,2337,3896,624,2606,640,625,610,12
Lycoming College,72,59,100,80,49856,49856,38972,71,1285,1845,347,1314,570,570,540,13
Lynchburg College,56,48,100,74,47495,47495,39055,69,2794,4916,527,3412,550,570,540,11
Lyndon State College,38,20,98,77,23314,34714,16598,98,1266,1180,272,1162,520,540,510,14
Lynn University,45,35,89,41,52212,52212,43573,76,2693,3770,516,2864,550,540,540,18
Lyon College,39,35,100,82,36390,36390,28280,59,715,1607,211,950,580,600,560,15
Maine Maritime Academy,62,42,87,79,26518,39092,16688,65,1032,769,208,501,590,560,530,13
Manchester University,57,49,100,80,42237,42237,35328,71,1536,2949,396,2083,568,550,530,15
Manhattan Christian College,36,21,100,92,26724,26724,20790,82,308,202,79,166,510,470,480,17
Manhattan College,71,57,99,84,56210,56210,42180,67,4071,8313,900,5557,610,580,590,13
Mansfield University of Pennsylvania,54,33,97,87,25280,36098,14292,89,2352,1918,401,1698,530,540,510,15
Marquette University,81,60,100,50,51726,51726,42838,74,11491,20486,1876,15202,660,640,640,15
Mary Baldwin University,46,37,100,80,42131,42131,35331,97,1666,2774,177,2693,540,600,570,12
Maryland Institute College of Art,73,68,95,45,58850,58850,46820,47,2197,3818,411,1808,630,650,630,9
Marymount Manhattan College,45,36,94,83,52700,52700,37200,84,1928,4459,524,3737,550,590,580,11
Marywood University,66,53,99,75,49092,49092,37392,71,3010,2273,371,1603,560,560,550,12
Massachusetts College of Art and Design,72,55,90,66,28400,47900,19400,71,1990,1273,293,908,580,620,600,9
Massachusetts Maritime Academy,76,61,93,90,23454,39260,10430,74,1674,825,385,610,590,570,550,16
McKendree University,52,36,99,72,40500,40500,32130,63,3001,1904,362,1209,530,550,490,14
McMurry University,36,28,99,80,38279,38279,31018,53,1071,1378,297,735,510,470,450,11
MCPHS University,71,52,97,71,49632,49632,36340,87,7074,4867,783,4213,610,570,580,16
Menlo College,53,43,97,64,56403,56403,44880,38,787,2445,150,931,563,533,525,14
Mercer University,66,49,100,62,49393,49393,38495,67,8600,4559,831,3049,660,650,625,13
Messiah College,76,73,100,82,45360,45360,36250,79,3302,2469,691,1950,630,620,600,12
Methodist University,41,21,99,72,51291,51291,43146,56,2474,4480,520,2506,550,530,510,12
Michigan State University,78,52,68,44,26048,48848,16524,66,50538,35300,8173,23397,680,580,580,17
Michigan Technological University,67,28,97,60,27677,43641,17820,75,7218,5386,1277,4063,690,670,630,12
Mid-Atlantic Christian University,42,16,100,82,26790,26790,21390,42,204,224,55,94,560,550,520,12
Midland University,46,37,100,87,40800,40800,34560,61,1646,1745,304,1058,510,490,455,15
Midwestern State University,41,19,93,55,19200,21150,10452,76,6043,2854,826,2169,550,540,510,18
Millersville University of Pennsylvania,61,38,85,75,26189,35607,14944,73,7959,6053,1336,4422,550,550,530,20
Milligan College,63,53,100,63,39248,39248,32748,65,1193,603,187,393,600,590,588,9
Millikin University,60,49,100,78,44628,44628,33730,60,2152,3540,420,2124,590,590,590,11
Mills College,66,61,100,68,60992,60992,49062,72,1397,893,140,639,620,670,650,10
Minneapolis College of Art and Design,65,57,100,94,46840,46840,40204,66,796,556,145,367,550,650,560,11
Molloy College,75,48,98,71,47122,47122,39122,76,4894,3550,539,2681,580,570,560,10
Monmouth University,70,55,99,74,50250,50250,38144,74,6394,7691,1056,5706,550,570,560,14
Montana State University,53,24,84,43,20099,35331,11449,83,15236,14816,3018,12277,640,630,610,19
Montana State University-Northern,22,11,85,55,16029,28108,9729,100,1234,473,229,473,478,528,478,14
Montana Tech of the University of Montana,45,18,86,40,19599,32631,9949,89,2130,687,284,610,640,600,550,15
Moravian College,69,66,100,79,53616,53616,43586,75,2261,2737,523,2041,510,580,550,12
Morehead State University,46,27,99,64,20186,32334,12620,85,10872,4888,1461,4174,550,550,520,18
Morehouse College,50,38,98,84,47952,47952,32230,76,2167,2288,598,1738,550,550,520,12
Morrisville State College,31,24,98,79,25640,35690,12270,58,2940,3935,821,2293,500,490,460,15
Mount Ida College,43,32,98,84,48372,48372,35572,63,1345,2319,433,1467,500,510,500,13
Mount Mary University,43,26,100,75,41520,41520,33630,53,1313,764,146,402,425,453,453,10
Mount Saint Mary's University,65,49,98,95,54143,54143,43026,77,3431,2407,551,1842,510,510,500,13
Mount St Mary's University,71,65,100,70,52600,52600,42700,67,2257,6113,506,4105,560,570,560,12
Muskingum University,54,38,100,96,38690,38690,33439,74,2427,1977,360,1461,520,550,480,14
Neumann University,54,30,100,88,41980,41980,30726,91,2901,2253,401,2046,500,490,480,13
New College of Florida,63,54,100,34,20318,43346,11386,61,861,1655,261,1009,660,720,670,10
New Jersey Institute of Technology,61,25,89,49,34408,48626,23508,61,11325,6045,1108,3673,680,630,630,17
New Mexico State University-Main Campus,45,17,95,34,19144,32702,11080,66,15490,7427,1993,4884,540,530,520,16
New York School of Interior Design,83,25,75,50,48970,48970,27970,42,538,155,12,65,545,620,630,10
New York University,85,82,58,33,68400,68400,50820,32,50027,57727,5917,18515,750,720,730,10
Newman University,50,39,100,49,37380,37380,30040,56,3595,1267,163,713,590,580,540,14
Nicholls State University,47,21,95,54,21068,31999,12560,90,6158,2399,1212,2164,610,540,510,19
Norfolk State University,37,24,100,82,23909,35667,14939,79,5107,2445,475,1930,450,460,430,16
North Carolina A & T State University,43,18,86,75,17943,30703,13972,60,10852,6010,1780,3635,500,490,470,19
North Carolina Central University,43,20,97,85,19998,32036,10866,66,8011,7651,1108,5040,470,470,460,16
North Carolina State University at Raleigh,78,48,69,43,22398,38749,12087,50,34015,21364,4364,10774,680,650,630,15
North Dakota State University-Main Campus,55,27,90,64,20308,31602,13226,94,14516,5311,2552,4973,630,630,520,18
North Greenville University,57,44,100,49,32000,32000,22360,58,2689,1613,545,935,670,630,660,14
North Park University,53,39,99,75,37940,37940,28960,49,3159,3901,358,1929,590,580,570,11
Northeastern University,86,0,73,43,62800,62800,48330,28,19940,50523,2797,14388,770,740,730,14
Northern Illinois University,47,23,96,71,29065,38531,18299,50,20130,17099,2259,8610,550,530,520,15
Northern Kentucky University,38,15,96,58,20948,29684,12180,92,14699,7397,2266,6797,580,595,560,19
Northern Michigan University,47,22,96,64,21306,26706,12020,70,8303,5820,1426,4067,580,580,550,21
Northland College,50,45,98,72,44553,44553,36204,57,541,852,128,487,535,570,585,9
Northwest Christian University,49,44,100,69,38910,38910,30690,68,740,369,84,251,535,540,540,12
Northwest Nazarene University,49,31,100,67,38750,38750,32250,56,2207,1589,267,894,570,580,560,15
Northwest University,53,43,98,71,38927,38927,31777,95,1236,515,203,490,550,560,540,10
Northwestern University,94,84,62,26,68060,68060,53976,13,21655,32122,2018,4190,800,760,770,7
Notre Dame de Namur University,50,34,96,83,51620,51620,39174,87,1855,1710,173,1482,510,520,510,11
Oberlin College,85,71,87,38,66870,66870,54498,29,2929,7815,778,2249,710,740,730,9
Oglethorpe University,47,35,99,86,49830,49830,38900,78,1155,2768,326,2172,600,630,600,15
Ohio Dominican University,37,29,99,80,44000,44000,35470,81,2534,1410,249,1140,570,580,530,14
Ohio Northern University,74,60,99,95,43558,43558,32668,69,3238,3108,586,2146,640,600,590,11
Ohio State University-Main Campus,84,59,88,41,25579,42907,16347,49,58663,40240,7032,19872,720,670,660,19
Ohio University-Main Campus,64,46,93,64,26494,35458,19184,74,29012,21000,4423,15628,610,600,590,18
Oklahoma Christian University,49,33,100,59,31770,31770,24740,59,2570,2597,452,1535,620,610,580,13
Oklahoma City University,59,46,98,51,44834,44834,34926,70,2991,1562,320,1096,610,600,580,11
Oklahoma Wesleyan University,44,32,99,82,36668,36668,28806,95,1527,2092,194,1982,540,500,500,15
Oregon Institute of Technology,47,22,88,55,22792,38779,13733,57,4777,1487,347,847,590,580,540,19
Oregon State University,63,33,85,55,26415,45075,14541,78,29576,14058,3593,11016,630,610,590,18
Otterbein University,58,51,100,80,45197,45197,37071,75,2808,2917,569,2197,610,620,590,10
Pacific Lutheran University,71,58,98,52,51838,51838,42020,76,3170,3623,643,2737,610,620,600,11
Pacific Union College,48,31,100,73,41700,41700,35112,45,1555,2041,251,923,570,560,540,15
Paine College,20,6,100,94,24910,24910,18248,31,555,3790,131,1161,410,420,430,9
Palm Beach Atlantic University,51,40,100,57,41587,41587,33169,93,3918,1504,551,1397,590,590,580,13
Paul Quinn College,8,3,100,68,16525,16525,10525,60,424,3242,251,1941,420,420,415,20
Pennsylvania State University-Main Campus,86,68,65,45,35068,48900,23458,51,47307,53472,7626,27440,670,630,640,16
Pennsylvania State University-Penn State Altoona,69,45,83,70,32164,39898,20554,89,3839,5738,1379,5129,550,540,530,16
Pennsylvania State University-Penn State Beaver,48,30,93,74,31214,37900,19604,82,705,753,210,620,570,550,530,16
Pennsylvania State University-Penn State Berks,57,37,87,75,32164,39898,20554,85,2906,2413,793,2048,560,540,520,17
Pennsylvania State University-Penn State Erie-Behrend College,63,43,79,67,32164,39898,20554,87,4327,4079,1176,3552,610,560,550,15
Pennsylvania State University-Penn State Greater Allegheny,39,21,91,77,31214,37900,19604,79,577,594,158,468,540,540,510,11
Pennsylvania State University-Penn State Harrisburg,63,40,77,56,32164,39898,20554,85,4678,3938,858,3342,610,560,550,15
Pennsylvania State University-Penn State Hazleton,50,32,95,77,31456,38650,19846,84,831,763,262,640,540,520,500,13
Pennsylvania State University-Penn State Mont Alto,48,26,94,78,31224,37910,19614,79,893,688,246,546,535,530,500,11
Pennsylvania State University-Penn State Schuylkill,41,21,96,79,31456,38650,19846,73,783,690,220,504,510,520,500,13
Pepperdine University,87,76,84,45,66152,66152,52342,38,7632,9923,745,3781,670,650,650,13
Philadelphia University,58,42,98,72,54188,54188,42282,64,3670,4129,527,2651,600,580,570,13
Pine Manor College,28,20,97,82,43330,43330,31850,71,495,764,162,542,440,430,440,15
Point Loma Nazarene University,71,62,92,59,47140,47140,38446,71,3663,2809,599,2004,630,620,610,15
Point Park University,58,51,98,78,42370,42370,31550,71,3844,4021,595,2836,530,560,550,13
Pomona College,97,92,64,19,64870,64870,49720,10,1663,8099,400,834,770,760,770,7
Portland State University,48,21,80,51,23634,39609,14724,86,27488,6299,1744,5397,570,590,560,19
Post University,33,26,100,83,32760,32760,22260,81,7429,2401,976,1948,510,500,510,19
Prairie View A & M University,31,9,96,74,22016,34543,12831,86,8315,5067,1627,4355,470,460,440,18
Pratt Institute-Main,70,50,75,47,62882,62882,52586,57,4784,5571,828,3197,630,610,610,8
Presbyterian College,63,57,100,68,49580,49580,40330,62,1379,2072,262,1291,600,590,570,11
Prescott College,31,28,100,71,39991,39991,31617,70,819,328,35,231,570,580,580,9
Presentation College,44,37,100,81,31248,31248,22558,62,769,305,110,190,520,490,460,10
Principia College,68,61,97,57,40250,40250,29440,75,460,159,79,120,608,590,568,6
Purdue University-Main Campus,77,49,65,34,23032,41834,14402,59,40472,45264,6942,26692,700,630,630,12
Quinnipiac University,78,74,95,64,59290,59290,46970,74,9654,22745,1903,16765,600,580,590,12
Randolph-Macon College,59,52,100,64,50980,50980,40100,66,1418,2968,405,1970,580,600,580,12
Reed College,78,66,59,45,64480,64480,51890,35,1453,5396,421,1888,720,760,730,9
