instnm,GraduationRate6Yr,GraduationRate4Yr,PercentFinancialAid,PercentStudentLoans,TotalPriceInStateOnCampus,TotalPriceOutStateOnCampus,TotalPriceInStateWithFamily,PercentAdmitted,TotalEnrollment,Applicants,Enrolled,Admitted,SatMath75th,SatReading75th,SatWriting75th,StudToFacRatio
University of Mary,54,38,100,70,26643,26643,20397,96,2872,900,410,861,580,600,575,13
University of Mary Hardin-Baylor,48,32,97,73,37730,37730,30430,80,3898,7504,726,6033,570,560,530,19
University of Mary Washington,72,62,87,50,25992,40156,16130,83,4647,5551,972,4588,590,620,600,14
University of Maryland Eastern Shore,36,15,92,76,21739,30801,17175,49,4465,7249,1020,3556,460,470,450,15
University of Maryland-Baltimore County,64,38,73,42,26506,39270,15824,59,13839,10629,1559,6316,670,640,630,19
University of Massachusetts-Dartmouth,48,28,93,78,26982,40567,17360,76,8916,7591,1430,5789,570,560,550,18
University of Memphis,42,17,96,54,23846,35558,14785,40,20585,16672,2105,6632,570,580,550,14
University of Miami,82,70,79,28,62329,62329,49421,38,16785,33420,2084,12629,700,690,680,12
University of Michigan-Ann Arbor,91,77,64,29,27812,57432,19442,26,43651,51797,6092,13611,770,730,730,12
University of Michigan-Flint,37,13,89,85,23604,33060,14898,74,8470,3918,642,2883,640,530,535,15
University of Minnesota-Crookston,54,42,91,65,23075,23075,14982,77,2823,1093,239,839,560,530,510,17
University of Minnesota-Duluth,59,35,88,66,23860,27810,16650,76,10878,7499,1997,5696,590,610,580,17
University of Minnesota-Morris,64,50,93,57,23350,23350,15546,60,1856,3619,416,2164,640,660,620,12
University of Minnesota-Rochester,55,49,94,74,25872,25872,16432,28,416,803,88,221,600,610,630,11
University of Minnesota-Twin Cities,78,61,82,48,26304,34724,16990,45,50678,46165,5771,20579,740,700,690,17
University of Montevallo,50,28,93,60,25892,37262,18210,70,3031,2024,505,1417,580,595,585,16
University of Nebraska at Omaha,45,1,85,40,20350,32062,11608,76,15526,5581,2062,4238,610,618,585,16
University of Nevada-Las Vegas,41,12,91,33,22529,36439,14007,88,28600,7603,3784,6722,560,560,530,22
University of Nevada-Reno,54,23,91,41,22812,36722,12772,79,20898,10454,3851,8208,600,590,570,22
University of New England,59,53,100,84,51830,51830,39810,85,7794,4416,626,3760,590,580,560,13
University of New Hampshire-Main Campus,78,67,85,71,31528,44798,22180,79,15351,19255,3220,15137,610,600,590,19
University of New Haven,56,45,96,78,53030,53030,42510,82,6786,10748,1244,8826,580,580,570,16
University of North Carolina at Asheville,62,39,76,53,20264,35878,13032,79,3891,3285,735,2579,610,640,610,14
University of North Carolina at Chapel Hill,91,84,64,29,24349,49431,13447,31,29084,31143,4076,9510,720,710,700,14
University of North Carolina at Charlotte,57,29,72,56,20705,33876,10224,63,27983,16383,3452,10372,600,580,560,19
University of North Carolina at Greensboro,54,30,84,67,19499,34361,12385,59,19393,10566,2773,6192,550,560,540,17
University of North Carolina at Pembroke,36,20,91,74,18496,28944,10205,74,6441,4596,1233,3418,500,490,470,15
University of North Carolina School of the Arts,65,63,78,57,22947,38367,13225,34,970,887,199,305,600,630,610,6
University of North Carolina Wilmington,72,53,71,52,22151,36017,12685,61,14918,11444,2029,6976,630,630,620,17
University of North Florida,54,26,79,41,21102,35506,11428,57,15675,10902,1577,6171,610,630,590,18
University of Northern Iowa,65,39,82,58,20037,30225,11717,80,11981,5394,1916,4290,610,570,550,17
University of Pennsylvania,95,85,60,14,66800,66800,52810,10,24876,37268,2435,3787,790,760,780,6
University of Pittsburgh-Bradford,49,32,96,81,24398,35214,15806,63,1453,3181,359,2004,530,540,520,17
University of Pittsburgh-Greensburg,58,37,93,73,25566,36382,15816,71,1562,2044,409,1461,560,560,530,18
University of Pittsburgh-Johnstown,53,32,94,75,25008,35824,15808,81,2816,3456,724,2800,570,550,530,20
University of Pittsburgh-Pittsburgh Campus,81,64,77,56,31696,42462,20796,54,28649,30626,4014,16503,690,660,670,15
University of Rhode Island,63,42,93,81,28064,44054,22006,74,16613,20366,3011,14980,590,580,570,17
University of Richmond,88,84,63,37,61370,61370,50250,31,4181,9977,807,3104,720,700,700,8
University of Saint Francis-Fort Wayne,55,39,100,76,39350,39350,31020,95,2240,991,372,944,540,530,530,11
University of San Diego,78,66,81,38,61569,61569,50634,52,8251,13675,1105,7067,670,640,650,14
University of San Francisco,72,62,78,46,61684,61684,47534,64,10797,15462,1267,9951,640,620,620,14
University of South Alabama,38,16,93,59,20252,27284,12802,78,16211,6625,2105,5178,540,560,560,20
University of South Carolina-Upstate,42,24,98,73,23673,34323,16198,56,5996,4056,835,2273,510,530,500,17
University of South Dakota,54,34,95,67,20974,23855,13644,74,9971,4218,1287,3102,610,520,590,17
University of South Florida-Main Campus,67,44,89,40,21110,32024,11710,45,42067,30393,4164,13566,640,630,600,24
